,price,year,area,rooms,floor,tot_floors,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,latitude,longitude,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
37,210011.0,2017.0,100.0,4.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2100.11,44.8035384,20.4800925,0,0,0,0,0,0,0,0,0,0,0,1,0
38,46900.0,1991.0,37.0,2.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1267.56756757,44.7781546,20.4049954,0,0,0,0,0,0,0,0,0,0,0,0,1
39,246000.0,1936.0,113.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2176.99115044,44.3794977,20.2474718,0,0,0,0,0,0,0,0,0,1,0,0,0
40,439011.0,2011.0,190.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2310.58421053,44.7609615,20.4543356,0,0,0,0,0,1,0,0,0,0,0,0,0
41,135000.0,1955.0,85.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1588.23529412,44.7701775,20.5471579,0,0,0,0,0,0,0,0,0,0,0,1,0
42,79990.0,2006.0,67.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1193.88059701,44.8490121,20.4030584,0,0,0,0,0,0,0,0,0,0,1,0,0
43,119000.0,1938.0,72.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1652.77777778,44.8099957,20.4762262,0,0,0,1,0,0,0,0,0,0,0,0,0
44,120000.0,2016.0,56.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2142.85714286,44.7652737,20.4795296,0,0,0,0,0,0,0,0,1,0,0,0,0
45,239000.0,1920.0,130.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1838.46153846,44.7321053,20.612455,0,0,0,0,0,0,0,0,0,0,1,0,0
46,45000.0,1971.0,55.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,818.181818182,44.8081208,20.5191235,0,0,0,1,0,0,0,0,0,0,0,0,0
47,269000.0,1998.0,113.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2380.53097345,44.7862036,20.4356581,0,0,0,0,0,1,0,0,0,0,0,0,0
48,127000.0,1939.0,53.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2396.22641509,44.7371876,20.6046848,0,0,0,0,0,0,1,0,0,0,0,0,0
49,128000.0,1929.0,70.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1828.57142857,44.8046454,20.482234,0,0,0,0,0,0,0,0,0,0,0,1,0
50,140000.0,2007.0,83.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1686.74698795,44.7959198,20.4709548,0,0,0,0,0,0,0,0,0,1,0,0,0
