"_type","features","main_data","raw_info"
"dict","Uknjiženo,Parking,Terasa,Podrum","stan,52900.00 EUR,55.00 m,2,Beograd,Voždovac,Braće Jerković,Meštrovićeva,3,4,2","Tip: ,stan, ,Cena: ,52900.00 EUR, ,Površina: ,55.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Braće Jerković, ,Ulica: ,Meštrovićeva, ,Sprat: ,3, ,Spratnost: ,4, ,Soba: ,2, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Lift,Parking,Novogradnja,Terasa,Podrum","stan,320000.00 EUR,140.00 m,2,Beograd,Vračar,Centar (Vračar),Hadži Prodanova,2,5,4","Tip: ,stan, ,Cena: ,320000.00 EUR, ,Površina: ,140.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Centar (Vračar), ,Ulica: ,Hadži Prodanova, ,Sprat: ,2, ,Spratnost: ,5, ,Soba: ,4, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Useljivo,Kablovska,Internet,Klima,Lift,Parking,Daljinsko grejanje,Kanalizacija,Novogradnja,Interfon","stan,80000.00 EUR,27.00 m,2,Beograd,Novi Beograd,Blok 67,Urosa Martinovica 5,1,6,1,2015","Tip: ,stan, ,Cena: ,80000.00 EUR, ,Površina: ,27.00 m,2, ,Grad: ,Beograd, ,Opština: ,Novi Beograd, ,Deo: ,Blok 67, ,Ulica: ,Urosa Martinovica 5, ,Sprat: ,1, ,Spratnost: ,6, ,Soba: ,1, ,Godina izgradnje: ,2015, ,nebojsa vasilic,0653553350"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon,Podrum","stan,238000.00 EUR,145.00 m,2,Beograd,Zvezdara,Đeram pijaca,Marka Oreškovića,4,4,4,2007","Tip: ,stan, ,Cena: ,238000.00 EUR, ,Površina: ,145.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zvezdara, ,Deo: ,Đeram pijaca, ,Ulica: ,Marka Oreškovića, ,Sprat: ,4, ,Spratnost: ,4, ,Soba: ,4, ,Godina izgradnje: ,2007, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon,Podrum","stan,330000.00 EUR,144.00 m,2,Beograd,Stari grad,Botanička bašta,Vlajkovićeva,3,5,5,1960","Tip: ,stan, ,Cena: ,330000.00 EUR, ,Površina: ,144.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Botanička bašta, ,Ulica: ,Vlajkovićeva, ,Sprat: ,3, ,Spratnost: ,5, ,Soba: ,5, ,Godina izgradnje: ,1960, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Parking,Terasa,Interfon","stan,48000.00 EUR,63.00 m,2,Beograd,Voždovac,Medaković 3,Krivošijska,3,3,3,2010","Tip: ,stan, ,Cena: ,48000.00 EUR, ,Površina: ,63.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Medaković 3, ,Ulica: ,Krivošijska, ,Sprat: ,3, ,Spratnost: ,3, ,Soba: ,3, ,Godina izgradnje: ,2010, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon,Podrum","stan,75000.00 EUR,84.00 m,2,Beograd,Čukarica,Železnik,Luke Spasojevića,1,6,3","Tip: ,stan, ,Cena: ,75000.00 EUR, ,Površina: ,84.00 m,2, ,Grad: ,Beograd, ,Opština: ,Čukarica, ,Deo: ,Železnik, ,Ulica: ,Luke Spasojevića, ,Sprat: ,1, ,Spratnost: ,6, ,Soba: ,3, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Centralno grejanje,Terasa,Podrum","stan,70000.00 EUR,42.00 m,2,Beograd,Voždovac,Autokomanda,Ustanička,1,3,2","Tip: ,stan, ,Cena: ,70000.00 EUR, ,Površina: ,42.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Autokomanda, ,Ulica: ,Ustanička, ,Sprat: ,1, ,Spratnost: ,3, ,Soba: ,2, ,ART nekretnine,011 241 30 63,069 581 55 56"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon","stan,155000.00 EUR,83.00 m,2,Beograd,Vračar,Crveni krst,Sazonova,3,5,3.5,2010","Tip: ,stan, ,Cena: ,155000.00 EUR, ,Površina: ,83.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Crveni krst, ,Ulica: ,Sazonova, ,Sprat: ,3, ,Spratnost: ,5, ,Soba: ,3.5, ,Godina izgradnje: ,2010, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Useljivo,Telefon,Parking,Interfon,Podrum","stan,62500.00 EUR,52.00 m,2,Beograd,Voždovac,Saobraćajni fakultet,Kostolačka,4,2","Tip: ,stan, ,Cena: ,62500.00 EUR, ,Površina: ,52.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Saobraćajni fakultet, ,Ulica: ,Kostolačka, ,Spratnost: ,4, ,Soba: ,2, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon","stan,130000.00 EUR,110.00 m,2,Beograd,Voždovac,Voždovačka crkva,Vojvode Stepe,14,23,4,1970","Tip: ,stan, ,Cena: ,130000.00 EUR, ,Površina: ,110.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Voždovačka crkva, ,Ulica: ,Vojvode Stepe, ,Sprat: ,14, ,Spratnost: ,23, ,Soba: ,4, ,Godina izgradnje: ,1970, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Interfon,Podrum","stan,85000.00 EUR,60.00 m,2,Beograd,Voždovac,Autokomanda,Ljutice Bogdana,12,12,2.5,1970","Tip: ,stan, ,Cena: ,85000.00 EUR, ,Površina: ,60.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Autokomanda, ,Ulica: ,Ljutice Bogdana, ,Sprat: ,12, ,Spratnost: ,12, ,Soba: ,2.5, ,Godina izgradnje: ,1970, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon,Podrum","stan,349900.00 EUR,128.00 m,2,Beograd,Stari grad,Gornji Dorćol,Strahinjića bana,2,5,4.5,2001","Tip: ,stan, ,Cena: ,349900.00 EUR, ,Površina: ,128.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Gornji Dorćol, ,Ulica: ,Strahinjića bana, ,Sprat: ,2, ,Spratnost: ,5, ,Soba: ,4.5, ,Godina izgradnje: ,2001, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Terasa,Interfon","stan,170000.00 EUR,210.00 m,2,Beograd,Zemun,Centar (Zemun),Marka Nikolića,2,5","Tip: ,stan, ,Cena: ,170000.00 EUR, ,Površina: ,210.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zemun, ,Deo: ,Centar (Zemun), ,Ulica: ,Marka Nikolića, ,Sprat: ,2, ,Soba: ,5, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Useljivo,Telefon,Kablovska,Internet,Klima,Centralno grejanje,Kanalizacija,Interfon,Podrum","stan,93011.00 EUR,62.00 m,2,Beograd,Savski Venac,Dedinje,Palackova,3,3,1954","Tip: ,stan, ,Cena: ,93011.00 EUR, ,Površina: ,62.00 m,2, ,Grad: ,Beograd, ,Opština: ,Savski Venac, ,Deo: ,Dedinje, ,Ulica: ,Palackova, ,Spratnost: ,3, ,Soba: ,3, ,Godina izgradnje: ,1954, ,Agencija Eleven,011 41 222 55,060 41 222 55,http://www.eleven.rs"
"dict","Telefon,Kablovska,Internet,Klima,Lift,Parking,Kanalizacija,Novogradnja,U izgradnji,Terasa,Interfon","stan,78705.00 EUR,53.00 m,2,Beograd,Zvezdara,Svetog Nikole,3,3,2017","Tip: ,stan, ,Cena: ,78705.00 EUR, ,Površina: ,53.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zvezdara, ,Ulica: ,Svetog Nikole, ,Sprat: ,3, ,Soba: ,3, ,Godina izgradnje: ,2017, ,Ruslan Invest d.o.o.,+381 113472903,+38163238223,https://ruslaninvest.rs/"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon","stan,279000.00 EUR,114.00 m,2,Beograd,Stari grad,Centar (Stari grad),Kosovska,1,4,4","Tip: ,stan, ,Cena: ,279000.00 EUR, ,Površina: ,114.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Centar (Stari grad), ,Ulica: ,Kosovska, ,Sprat: ,1, ,Spratnost: ,4, ,Soba: ,4, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
