,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
224,73510.0,Gradska bolnica,2017.0,Zvezdara,39.0,1.5,6,8,stan,Hadži Mustafina,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1884.87179487,"Hadži Mustafina, Beograd","(44.8007807, 20.4938596)"
225,47835.0,,2017.0,Zvezdara,51.0,3.0,-2,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,937.941176471,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
226,34320.0,,2017.0,Zvezdara,26.0,1.0,-1,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1320.0,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
227,58080.0,,2017.0,Zvezdara,44.0,2.0,-1,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1320.0,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
228,60997.0,,2017.0,Zvezdara,46.0,2.0,-1,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1326.02173913,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
229,61327.0,,2017.0,Zvezdara,46.0,3.0,-1,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1333.19565217,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
231,60000.0,Hotel Srbija,1993.0,Voždovac,52.0,2.0,7,7,stan,Ljermontova,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1153.84615385,"Ljermontova, Beograd","(44.7831325, 20.4891939)"
234,118000.0,Kalenić pijaca,1999.0,Vračar,84.0,3.0,6,6,stan,Mileševska,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1404.76190476,"Mileševska, Beograd","(44.7977824, 20.4860597)"
235,93000.0,Skadarlija,1960.0,Stari grad,59.0,2.0,4,5,stan,Strahinjića bana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1576.27118644,"Strahinjića bana, Beograd","(44.4482103, 20.6873929)"
236,159900.0,Kalemegdan,1970.0,Stari grad,105.0,4.5,4,6,stan,Cara Dušana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1522.85714286,"Cara Dušana, Beograd","(44.8490121, 20.4030584)"
