,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
2342,1650.0,Lekino brdo,2017.0,Voždovac,1.0,1.0,1,3,stan,Strumička 21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1650.0,"Strumička 21, Beograd","(44.7886089, 20.4829429)"
2343,170000.0,Centar (Stari grad),1936.0,Stari grad,97.0,3.5,1,4,stan,Kralja Milana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1752.57731959,"Kralja Milana, Beograd","(44.8038414, 20.4659768)"
2346,70.0,Vidikovac,1980.0,Rakovica,56.0,2.0,1,4,stan,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.25,"Vidikovac, Beograd","(44.7395559, 20.4225609)"
2347,139000.0,Kalenić pijaca,2016.0,Vračar,77.0,3.0,6,7,stan,Golsvordijeva,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1805.19480519,"Golsvordijeva, Beograd","(44.8037241, 20.4773589)"
2348,54000.0,Veliki Mokri Lug,2017.0,Zvezdara,54.0,3.0,1,4,stan,Vojvode Vlahovića,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1000.0,"Vojvode Vlahovića, Beograd","(44.7632873, 20.504213)"
2349,63800.0,Mirijevo 2,2017.0,Zvezdara,58.0,3.0,3,5,stan,Mihaila Bulgakova,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1100.0,"Mihaila Bulgakova, Beograd","(44.785392, 20.5461758)"
2351,36000.0,Zvezdarska šuma,2017.0,Zvezdara,36.0,2.0,0.5,3,stan,Dušana Radovića,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1000.0,"Dušana Radovića, Beograd","(44.3702145, 20.2686538)"
2352,30000.0,Veliki Mokri Lug,2017.0,Zvezdara,27.0,1.0,1,3,stan,Vojvode Vlahovića,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1111.11111111,"Vojvode Vlahovića, Beograd","(44.7632873, 20.504213)"
2354,65000.0,Altina,2014.0,Zemun,70.0,3.0,2,3,stan,Juga Grizelja,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,928.571428571,"Juga Grizelja, Beograd","(44.8509398, 20.3615299)"
2358,62000.0,Krnjača,2017.0,Palilula,73.0,3.0,1,3,stan,Grge Andrijanovića 16A/3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,849.315068493,"Grge Andrijanovića 16A/3, Beograd","(44.8458553, 20.4947386)"
2359,37400.0,Krnjača,2016.0,Palilula,44.0,2.0,,3,stan,Grge Andrijanovića,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,850.0,"Grge Andrijanovića, Beograd","(44.8458553, 20.4947386)"
2362,49500.0,Karaburma,1970.0,Palilula,55.0,2.0,3,3,stan,Pera Ćetkovića,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,900.0,"Pera Ćetkovića, Beograd","(44.8048714, 20.5248052)"
2363,36000.0,Borča,2014.0,Palilula,48.0,1.5,2,4,stan,27. marta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,750.0,"27. marta, Beograd","(44.8117068, 20.4734505)"
2365,42900.0,Borča,2017.0,Palilula,67.0,2.5,2,3,stan,1. maja,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,640.298507463,"1. maja, Beograd","(44.7262338, 20.6088157)"
2367,139000.0,Donji Dorćol,1996.0,Stari grad,87.0,3.0,2,7,stan,Knez Miletina,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1597.70114943,"Knez Miletina, Beograd","(44.8186404, 20.4705979)"
2369,85000.0,Centar (Stari grad),1937.0,Stari grad,42.0,2.0,4,5,stan,Hilandarska,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2023.80952381,"Hilandarska, Beograd","(44.80007, 20.2807457)"
2372,132000.0,Lion,1939.0,Zvezdara,89.0,3.5,2,2,stan,Generala Mihajla Živkovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1483.14606742,"Generala Mihajla Živkovića, Beograd","(44.7937621, 20.4982733)"
2375,139000.0,Donji Dorćol,2007.0,Stari grad,86.0,3.0,2,5,stan,Knez Miletina,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1616.27906977,"Knez Miletina, Beograd","(44.8186404, 20.4705979)"
2382,250000.0,Žarkovo,1993.0,Čukarica,147.0,5.5,1,2,stan,Žarkovačka,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1700.68027211,"Žarkovačka, Beograd","(44.7679466, 20.4201678)"
2386,76000.0,Bežanijska kosa 2,1990.0,Novi Beograd,68.0,2.5,,,stan,Ismeta Mujezinovića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1117.64705882,"Ismeta Mujezinovića, Beograd","(44.8155933, 20.3753916)"
2387,68000.0,Karaburma,1969.0,Palilula,68.0,3.0,2,4,stan,Salvadora Aljendea,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1000.0,"Salvadora Aljendea, Beograd","(44.8072326, 20.522297)"
2388,270710.0,Crveni krst,2017.0,Vračar,107.0,3.0,3,13,stan,Vojislava Ilića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2530.0,"Vojislava Ilića, Beograd","(44.7924687, 20.4964823)"
2389,109000.0,Naselje Sava Kovačević,2017.0,Zemun,70.0,3.5,2,3,stan,Romanijska,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1557.14285714,"Romanijska, Beograd","(44.8418307, 20.3967332)"
2391,140000.0,Lion,1955.0,Zvezdara,84.0,3.0,1,3,stan,Radojke Lakić,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1666.66666667,"Radojke Lakić, Beograd","(44.7701775, 20.5471579)"
2392,105000.0,Crveni krst,1939.0,Vračar,55.0,2.0,,4,stan,Vilovskog,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1909.09090909,"Vilovskog, Beograd","(44.7970036, 20.4843216)"
2395,46000.0,Čubura,1960.0,Vračar,23.0,1.0,,2,stan,Maksima Gorkog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2000.0,"Maksima Gorkog, Beograd","(44.7907293, 20.4797627)"
2397,44000.0,Braće Jerković,1967.0,Voždovac,41.0,1.0,,4,stan,Zaplanjska,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1073.17073171,"Zaplanjska, Beograd","(44.7778095, 20.4880566)"
2399,134000.0,Blok 65,2015.0,Novi Beograd,52.0,2.0,4,6,stan,Omladinskih Brigada 86,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2576.92307692,"Omladinskih Brigada 86, Beograd","(44.81381905, 20.4019054783514)"
2401,65000.0,Slavija,1963.0,Savski Venac,36.0,1.0,6,6,stan,Svetozara Markovića,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1805.55555556,"Svetozara Markovića, Beograd","(44.8048903, 20.4654048)"
2407,115000.0,Čukarička padina,2004.0,Čukarica,99.0,4.0,3,6,stan,Radnička,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1161.61616162,"Radnička, Beograd","(44.6823693, 20.4430437)"
2408,250000.0,Hram Svetog Save,1936.0,Vračar,95.0,3.5,1,2,stan,Kneginje Zorke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2631.57894737,"Kneginje Zorke, Beograd","(44.7999305, 20.4659626)"
2413,63000.0,Mirijevo,1992.0,Zvezdara,65.0,2.0,1,2,stan,Učitelja Dragutina Prokića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,969.230769231,"Učitelja Dragutina Prokića, Beograd","(44.794402, 20.5349508)"
2414,85000.0,Centar (Stari grad),1932.0,Stari grad,30.0,1.0,1,5,stan,Svetogorska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2833.33333333,"Svetogorska, Beograd","(44.8135834, 20.4687669)"
2415,29000.0,Kalvarija,1967.0,Zemun,250.0,0.5,5,5,stan,Marije Bursać,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,116.0,"Marije Bursać, Beograd","(44.8302334, 20.3891529)"
2416,47000.0,Cerak,2003.0,Čukarica,61.0,2.5,6,6,stan,Venčačka,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,770.491803279,"Venčačka, Beograd","(44.3697292, 20.2782276)"
2417,90000.0,Mirijevo,1968.0,Zvezdara,110.0,4.0,1,2,stan,Nade Purić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,818.181818182,"Nade Purić, Beograd","(44.7973089, 20.5259913)"
2418,87000.0,Crveni krst,1960.0,Vračar,54.0,2.5,,,stan,Vele Nigrinove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1611.11111111,"Vele Nigrinove, Beograd","(44.7955082, 20.4855923)"
2419,53000.0,Braće Jerković,2016.0,Voždovac,56.0,2.5,3,3,stan,Ivana Božića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,946.428571429,"Ivana Božića, Beograd","(44.7672108, 20.5039419)"
2420,87780.0,Centar (Palilula),2016.0,Palilula,57.0,1.5,7,7,stan,Vatroslava Lisinskog,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1540.0,"Vatroslava Lisinskog, Beograd","(44.8182507, 20.4745004)"
2421,153000.0,Filmski grad,2005.0,Čukarica,143.0,6.0,5,6,stan,Ratka Mitrovića,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1069.93006993,"Ratka Mitrovića, Beograd","(44.7494151, 20.4284015)"
2423,175000.0,Kalvarija,1936.0,Zemun,312.0,5.0,2,2,stan,Magistratski trg,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,560.897435897,"Magistratski trg, Beograd","(44.8442235, 20.413582)"
2424,95000.0,Karađorđev park,2009.0,Vračar,55.0,2.0,,,stan,Lamartinova,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1727.27272727,"Lamartinova, Beograd","(44.7937737, 20.4692061)"
2425,139900.0,Neimar,2006.0,Vračar,85.0,3.0,2,6,stan,Sime Igumanova,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1645.88235294,"Sime Igumanova, Beograd","(44.7921517, 20.4744391)"
2426,90000.0,Blok 61,1980.0,Novi Beograd,81.0,3.0,10,13,stan,Dr Ivana Ribara,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1111.11111111,"Dr Ivana Ribara, Beograd","(44.7984109, 20.3688457)"
2428,180000.0,Lion,2009.0,Zvezdara,92.0,4.0,3,5,stan,Gvozdićeva,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1956.52173913,"Gvozdićeva, Beograd","(44.7957773, 20.4926176)"
2429,118990.0,Terazije,1930.0,Stari grad,69.0,3.0,7,7,stan,Kralja Milana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1724.49275362,"Kralja Milana, Beograd","(44.8038414, 20.4659768)"
2430,85000.0,Naselje Sava Kovačević,2011.0,Zemun,93.0,3.0,,3,stan,Šilerova,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,913.978494624,"Šilerova, Beograd","(44.8462423, 20.3878015)"
2432,297000.0,Hram Svetog Save,2017.0,Vračar,99.0,3.5,1,3,stan,Braničevska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3000.0,"Braničevska, Beograd","(44.7974155, 20.4698373)"
2433,276000.0,Hram Svetog Save,2017.0,Vračar,92.0,3.5,,3,stan,Braničevska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3000.0,"Braničevska, Beograd","(44.7974155, 20.4698373)"
2439,310000.0,Lion,2014.0,Zvezdara,178.0,5.0,4,5,stan,Subotička,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1741.57303371,"Subotička, Beograd","(44.7931164, 20.4994399)"
2442,44000.0,Mirijevo,2015.0,Zvezdara,39.0,1.5,3,3,stan,Dragoslava Srejovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1128.20512821,"Dragoslava Srejovića, Beograd","(44.8004066, 20.5228621)"
2443,82000.0,Klinički centar,1973.0,Savski Venac,68.0,2.5,,,stan,Resavska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1205.88235294,"Resavska, Beograd","(44.8017463, 20.4584882)"
2445,85000.0,Đeram pijaca,1985.0,Zvezdara,85.0,3.0,4,4,stan,Bledska,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1000.0,"Bledska, Beograd","(44.7959679, 20.4915587)"
2451,58000.0,Đeram pijaca,2009.0,Zvezdara,37.0,1.5,,5,stan,Vojvode Savatija,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1567.56756757,"Vojvode Savatija, Beograd","(44.8021463, 20.4888985)"
2452,37000.0,Miljakovac,1970.0,Rakovica,40.0,1.0,5,6,stan,Stevana Opačića,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,925.0,"Stevana Opačića, Beograd","(44.7459715, 20.4546632)"
2455,27000.0,Petlovo brdo,2015.0,Rakovica,38.0,1.0,2,2,stan,Nićifora Ninkovića,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.526315789,"Nićifora Ninkovića, Beograd","(44.7185137, 20.4284809)"
2462,35500.0,Blok 62,2005.0,Novi Beograd,28.0,1.5,4,4,stan,Dušana Vukasovića,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1267.85714286,"Dušana Vukasovića, Beograd","(44.8458604, 20.4067688)"
2464,226000.0,Tašmajdan,2000.0,Palilula,126.0,4.0,3,5,stan,Dalmatinska,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1793.65079365,"Dalmatinska, Beograd","(44.623631, 20.3756836)"
2465,64000.0,Višnjica,2014.0,Palilula,70.0,3.5,5,5,stan,Sestara Janković,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,914.285714286,"Sestara Janković, Beograd","(44.813686, 20.5430664)"
2467,39000.0,Blok 61,1970.0,Novi Beograd,30.0,1.5,,6,stan,Dušana Vukasovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1300.0,"Dušana Vukasovića, Beograd","(44.8458604, 20.4067688)"
2468,151000.0,Južni bulevar,1985.0,Vračar,95.0,3.0,3,9,stan,Sime Igumanova,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1589.47368421,"Sime Igumanova, Beograd","(44.7921517, 20.4744391)"
2469,45000.0,Mirijevo 1,2010.0,Zvezdara,41.0,2.0,2,4,stan,Ladne Vode 55a,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1097.56097561,"Ladne Vode 55a, Beograd","(44.7977938, 20.525171)"
2470,88900.0,Profesorska kolonija,1953.0,Palilula,68.0,2.0,1,5,stan,Cvijićeva,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1307.35294118,"Cvijićeva, Beograd","(44.8165879, 20.4769848)"
2471,39000.0,Altina,2016.0,Zemun,39.0,1.5,3,3,stan,Vojni put 2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1000.0,"Vojni put 2, Beograd","(44.842887, 20.3708087)"
2472,56500.0,Lekino brdo,1938.0,Voždovac,45.0,2.0,1,3,stan,Bačvanska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1255.55555556,"Bačvanska, Beograd","(44.7890883, 20.4938907)"
2473,85500.0,Gradska bolnica,2013.0,Zvezdara,69.0,2.5,3,6,stan,Ante Bogićevića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1239.13043478,"Ante Bogićevića, Beograd","(44.799326, 20.498234)"
2480,64000.0,Žarkovo,1965.0,Čukarica,75.0,2.5,1,1,stan,Zmajevačka,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,853.333333333,"Zmajevačka, Beograd","(44.76187, 20.4070903)"
2484,110000.0,Lekino brdo,2016.0,Voždovac,62.0,2.0,,3,stan,Miklošićeva,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1774.19354839,"Miklošićeva, Beograd","(44.7904739, 20.4850715)"
2485,75000.0,Klinički centar,1980.0,Savski Venac,68.0,2.5,,8,stan,Resavska,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1102.94117647,"Resavska, Beograd","(44.8017463, 20.4584882)"
2487,57000.0,Mirijevo,1983.0,Zvezdara,59.0,3.0,6,8,stan,16. oktobra,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,966.101694915,"16. oktobra, Beograd","(44.7864941, 20.5306498)"
2490,36500.0,Novo groblje,2017.0,Zvezdara,34.0,1.5,,4,stan,Supilova,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1073.52941176,"Supilova, Beograd","(44.8065425, 20.4964442)"
2491,370000.0,Gradska bolnica,2012.0,Zvezdara,360.0,5.0,,3,stan,Miloša Savkovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1027.77777778,"Miloša Savkovića, Beograd","(44.7989515, 20.5007642)"
2492,55000.0,Terazije,1935.0,Stari grad,41.0,1.0,3,3,stan,Balkanska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.46341463,"Balkanska, Beograd","(44.8099445, 20.4592543)"
2494,53000.0,Mirijevo,2017.0,Zvezdara,60.0,1.5,,3,stan,Mihaila Bulgakova,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,883.333333333,"Mihaila Bulgakova, Beograd","(44.785392, 20.5461758)"
2495,56000.0,Braće Jerković,2003.0,Voždovac,42.0,2.0,2,7,stan,Zaplanjska,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1333.33333333,"Zaplanjska, Beograd","(44.7778095, 20.4880566)"
2497,35000.0,Krnjača,1980.0,Palilula,40.0,1.5,3,4,stan,Koste Josipovića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,875.0,"Koste Josipovića, Beograd","(44.8381469, 20.501055)"
2500,88500.0,Đeram pijaca,2017.0,Zvezdara,59.0,2.5,1,3,stan,Donska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1500.0,"Donska, Beograd","(44.7908142, 20.5034198)"
2505,88000.0,Kalemegdan,2016.0,Stari grad,50.0,2.0,5,5,stan,Zmaja od Noćaja,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1760.0,"Zmaja od Noćaja, Beograd","(44.821004, 20.4566357)"
2506,175000.0,Kalemegdan,2016.0,Stari grad,110.0,3.0,5,5,stan,Zmaja od Noćaja,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1590.90909091,"Zmaja od Noćaja, Beograd","(44.821004, 20.4566357)"
2507,30000.0,Borča,2017.0,Palilula,45.0,2.5,4,5,stan,Ivana Milutinovića,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,666.666666667,"Ivana Milutinovića, Beograd","(44.8784475, 20.4665281)"
2509,65000.0,Gornji grad,2017.0,Zemun,69.0,3.0,2,3,stan,Cara Dušana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,942.028985507,"Cara Dušana, Beograd","(44.8490121, 20.4030584)"
2510,49000.0,Mirijevo,2004.0,Zvezdara,79.0,2.0,,2,stan,Jovanke Radaković,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,620.253164557,"Jovanke Radaković, Beograd","(44.8026064, 20.5185846)"
2512,170000.0,Đeram pijaca,2016.0,Zvezdara,102.0,3.0,5,5,stan,Đevđelijska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1666.66666667,"Đevđelijska, Beograd","(44.7987584, 20.4959787)"
2517,145000.0,Blok 70,1980.0,Novi Beograd,155.0,5.0,15,15,stan,Jurija Gagarina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,935.483870968,"Jurija Gagarina, Beograd","(44.8034943, 20.4234044)"
2519,94000.0,,2017.0,Zvezdara,63.0,3.0,1,3,stan,Prote Đurića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.06349206,"Prote Đurića, Beograd","(44.7927451, 20.5140262)"
2520,92000.0,Olimp,2010.0,Zvezdara,78.0,3.0,2,4,stan,Luneta Milovanovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1179.48717949,"Luneta Milovanovića, Beograd","(44.760155, 20.5590102)"
2521,40000.0,Lekino brdo,2009.0,Voždovac,40.0,0.5,,3,stan,Kolašinska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,"Kolašinska, Beograd","(44.7902657, 20.4871937)"
2523,94500.0,Đeram pijaca,2017.0,Zvezdara,54.0,2.0,,5,stan,Đevđelijska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1750.0,"Đevđelijska, Beograd","(44.7987584, 20.4959787)"
2540,30000.0,Dorćol,1964.0,Stari grad,19.0,1.0,12,13,stan,Visokog Stevana 35,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1578.94736842,"Visokog Stevana 35, Beograd","(44.8246707, 20.4620702173491)"
2542,55000.0,Mirijevo,1988.0,Zvezdara,50.0,1.5,3,4,stan,Koste Nađa,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1100.0,"Koste Nađa, Beograd","(44.7945089, 20.5359119)"
2543,52000.0,Konjarnik,2008.0,Zvezdara,63.0,3.0,1,1,stan,Ustanička,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,825.396825397,"Ustanička, Beograd","(44.7827419, 20.506166)"
